-88,5
-90,5
-89,5
-86,5
-87,5
-84,5
-85,5
-82,5
-83,5
-80,5
-81,5
-78,5
-79,5
-76,5
-77,5
-74,5
-75,5
-55,5
-56,5
-64,5
-68,5
-59,5
-69,5
-46,1.23051
-45,1.20885
-44,1.18829
-43,1.16877
-65,5
-63,5
-61,5
-67,5
-60,5
-52,5
-70,5
-66,5
-62,5
-57,5
-54,5
-53,5
-51,5
-50,5
-49,5
-48,5
-47,1.25335
-73,5
-58,5
-71,5
-72,5
-6,5
-3,5
-2,5
4,5
7,5
-7,5
9,5
12,5
-4,5
13,5
10,5
16,5
6,5
0,5
-5,5
-1,5
-8,5
2,5
5,5
3,5
8,5
11,5
17,5
18,5
15,5
1,5
19,5
-11,5
14,5
20,5
-9,5
-10,5
-41,1.1326
-28,0.969175
-20,1.33033
-39,1.0999
-40,1.11584
-35,1.0435
-24,1.11866
-21,1.26964
-36,1.05657
-27,1.00222
-32,1.00794
-38,1.08474
-30,0.987021
-42,1.15023
-37,1.07031
-34,1.03106
-22,1.21461
-18,5
-17,5
-25,1.07662
-15,5
-33,1.01921
-19,1.39756
-14,5
-16,5
-13,5
-12,5
-29,0.977322
-23,1.16448
-26,1.03793
-31,0.997221
22,5
25,5
27,5
35,5
38,5
21,5
29,5
32,5
40,5
43,1.10704
24,5
33,5
34,5
39,5
36,5
41,5
44,1.08687
45,1.06773
46,1.04957
47,1.03233
48,1.01595
49,1.00038
26,5
50,0.985583
51,0.971503
52,0.958109
42,1.12833
31,5
28,5
37,5
23,5
30,5
59,0.880808
62,0.85509
69,0.990002
70,1.03732
71,1.08974
53,0.945362
56,0.910695
65,0.839493
73,1.21347
78,5
68,0.947087
57,0.900234
58,0.89028
74,1.28714
72,1.14811
60,0.871799
63,0.847356
67,0.908003
64,0.840014
75,5
76,5
77,5
79,5
82,5
80,5
83,5
55,0.921685
66,0.872272
61,0.863232
54,0.933231
81,5
84,5
88,5
87,5
90,5
85,5
89,5
86,5
